"","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region","index"
"145","Illinois","IL-03",3,13.31683,"Dense Urban",1,1,708538,0.492,78452,110500,37.2,0.140538687,0.247,0.031,"Midwest",4
"146","Illinois","IL-06",6,12.51739,"Urban-Suburban",1,1,737763,0.509,95298,131149,41.1,0.198036497,0.262,0.026,"Midwest",4
"147","Illinois","IL-16",16,9.59515,"Rural-Exurban",0,0,745274,0.5,78393,100707,41.7,0.204599919,0.205,0.023,"Midwest",4
"148","Illinois","IL-04",4,13.3979,"Dense Urban",1,1,718854,0.498,69123,101737,37.2,0.142607539,0.154,0.039,"Midwest",4
"149","Illinois","IL-09",9,12.90872,"Urban-Suburban",1,1,730979,0.498,86692,125253,41.6,0.188283111,0.321,0.033,"Midwest",4
"150","Illinois","IL-14",14,11.21229,"Suburban-Exurban",1,1,756472,0.494,86174,109503,36.6,0.134297106,0.201,0.025,"Midwest",4
"151","Indiana","IN-03",3,10.18394,"Rural-Exurban",0,0,762110,0.502,65522,86998,37.5,0.170842792,0.169,0.023,"Midwest",23
"152","Indiana","IN-05",5,10.86186,"Suburban-Exurban",0,0,772783,0.506,75915,114079,38.8,0.1668075,0.258,0.022,"Midwest",23
"153","Indiana","IN-02",2,10.29184,"Rural-Exurban",0,0,754764,0.505,62487,86538,37.9,0.176210047,0.165,0.019,"Midwest",23
"154","Indiana","IN-06",6,10.64735,"Suburban-Exurban",0,0,758725,0.503,69426,90452,38.2,0.170594089,0.185,0.02,"Midwest",23
"155","Indiana","IN-09",9,9.74306,"Rural-Exurban",0,0,760778,0.501,67283,86927,39.6,0.176168343,0.164,0.021,"Midwest",23
"156","Indiana","IN-04",4,9.95885,"Rural-Exurban",0,0,768518,0.493,72677,97133,37.4,0.159984542,0.196,0.016,"Midwest",23
