"","stcd","state_code","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over."
"111","NY-02","NY",2,12.21863,"Dense Suburban",1,1,775081,0.497,113994,140582,39.9,0.160596118,0.192,0.027
"112","WA-01","WA",1,12.20153,"Dense Suburban",0,0,782320,0.491,125412,176190,38,0.129732079,0.306,0.022
"113","MI-11","MI",11,12.18432,"Dense Suburban",0,0,769865,0.503,86379,125050,40.7,0.183963422,0.278,0.027
"114","FL-13","FL",13,12.18172,"Dense Suburban",0,1,763693,0.517,65785,102181,51.5,0.281768983,0.221,0.022
"115","GA-07","GA",7,12.16479,"Dense Suburban",0,0,776248,0.512,84547,111242,36.2,0.116447321,0.255,0.027
"116","FL-14","FL",14,12.15817,"Dense Suburban",0,0,782155,0.505,70955,113446,39,0.165459532,0.26,0.028
"117","PA-12","PA",12,12.1425,"Dense Suburban",1,0,758799,0.507,68078,97284,39.7,0.202726941,0.241,0.03
"118","GA-04","GA",4,12.11052,"Dense Suburban",0,0,781395,0.525,73742,107398,36.6,0.137351788,0.229,0.034
"119","AZ-05","AZ",5,12.09759,"Dense Suburban",1,1,835596,0.503,101489,133517,38.3,0.165972551,0.257,0.018
"120","KY-03","KY",3,12.09429,"Dense Suburban",0,0,742826,0.513,63327,94222,38.3,0.173977486,0.214,0.033
"121","NV-04","NV",4,12.07472,"Dense Suburban",0,0,821679,0.497,70338,90471,36.9,0.153144963,0.143,0.037
"122","AZ-01","AZ",1,12.05529,"Dense Suburban",0,1,799436,0.507,91562,142247,43.9,0.210979991,0.323,0.021
"123","VA-03","VA",3,12.041,"Dense Suburban",0,0,781088,0.51,63075,80940,34.5,0.142555,0.17,0.039
"124","RI-01","RI",1,12.00113,"Dense Suburban",0,0,543189,0.514,78966,110258,39.9,0.187036188,0.238,0.029
"125","CA-10","CA",10,11.99965,"Dense Suburban",0,0,754064,0.504,143122,197073,41.4,0.171409854,0.319,0.026
"126","TX-16","TX",16,11.98973,"Dense Suburban",0,0,773386,0.505,53477,75234,33.6,0.132839229,0.177,0.035
"127","NJ-12","NJ",12,11.95689,"Dense Suburban",0,0,767218,0.508,109146,148551,40.9,0.165942405,0.267,0.037
"128","NE-02","NE",2,11.95222,"Dense Suburban",1,1,658116,0.5,77535,110786,35.9,0.141046563,0.264,0.019
"129","TX-35","TX",35,11.94555,"Dense Suburban",0,0,802077,0.496,71075,88525,33.2,0.092351482,0.231,0.031
"130","OH-01","OH",1,11.9257,"Dense Suburban",1,0,790801,0.511,74773,115110,37.2,0.156945932,0.263,0.021
"131","CA-08","CA",8,11.90436,"Dense Suburban",1,0,748189,0.511,91501,120329,38.7,0.166381756,0.2,0.039
"132","MN-03","MN",3,11.89663,"Dense Suburban",0,0,700754,0.504,100867,142010,41.4,0.185129161,0.329,0.021
"133","MO-05","MO",5,11.89316,"Dense Suburban",0,0,773627,0.513,61184,86890,37.1,0.163878717,0.222,0.023
"134","CT-04","CT",4,11.88718,"Dense Suburban",0,0,710465,0.507,106972,190234,41.1,0.170174463,0.281,0.034
"135","CA-49","CA",49,11.85506,"Dense Suburban",0,0,752364,0.488,109380,150874,40,0.179736138,0.306,0.026
"136","PA-04","PA",4,11.84089,"Dense Suburban",0,0,780519,0.508,103922,142093,42.1,0.197874747,0.274,0.021
"137","NY-01","NY",1,11.83754,"Dense Suburban",1,1,775158,0.509,126171,166414,44,0.20377652,0.245,0.024
"138","MA-06","MA",6,11.83451,"Dense Suburban",0,0,771813,0.511,106226,149868,43.2,0.201604534,0.279,0.021
"139","NC-02","NC",2,11.81898,"Dense Suburban",1,0,779106,0.508,96138,133177,36.8,0.127126476,0.368,0.016
"140","MD-02","MD",2,11.81179,"Dense Suburban",0,0,772153,0.524,92468,124196,40.5,0.183183903,0.262,0.025
"141","MD-03","MD",3,11.8092,"Dense Suburban",0,0,777611,0.508,119418,154016,40.2,0.1614239,0.29,0.019
"142","NY-25","NY",25,11.80862,"Dense Suburban",0,0,768169,0.514,67775,96132,39.7,0.190499747,0.215,0.029
"143","CT-03","CT",3,11.80288,"Dense Suburban",0,0,735042,0.511,86205,120600,39.9,0.179546203,0.2,0.028
"144","TN-09","TN",9,11.79929,"Dense Suburban",0,0,756975,0.525,53183,75182,34.8,0.142098484,0.179,0.037
"145","NC-12","NC",12,11.79664,"Dense Suburban",0,0,770376,0.513,73841,107655,35.8,0.123180109,0.282,0.024
"146","MA-04","MA",4,11.77869,"Dense Suburban",0,0,782122,0.515,110374,165007,40.3,0.166950936,0.255,0.03
"147","CA-21","CA",21,11.73072,"Dense Suburban",1,0,748904,0.494,61213,82126,32,0.112003675,0.121,0.051
"148","CT-01","CT",1,11.72734,"Dense Suburban",0,0,718849,0.516,80371,111086,40.2,0.18023674,0.22,0.034
"149","WA-10","WA",10,11.72351,"Dense Suburban",0,0,788452,0.498,88325,106415,36.5,0.154979631,0.188,0.026
"150","PA-01","PA",1,11.71746,"Dense Suburban",1,1,760257,0.503,104881,143185,44.2,0.206389418,0.254,0.021
"151","IL-10","IL",10,11.70691,"Dense Suburban",0,0,744016,0.496,98057,145104,40.2,0.168745027,0.259,0.02
"152","FL-15","FL",15,11.70438,"Dense Suburban",1,1,817831,0.503,67704,96929,38.9,0.166025744,0.213,0.028
"153","UT-04","UT",4,11.70206,"Dense Suburban",1,1,874074,0.488,100006,114708,31.5,0.09894128,0.236,0.021
"154","CA-27","CA",27,11.69082,"Dense Suburban",0,1,737592,0.504,98123,126171,37.9,0.139512088,0.195,0.038
"155","NJ-04","NJ",4,11.69053,"Dense Suburban",1,1,786940,0.514,90090,130419,41.6,0.216282055,0.26,0.027
"156","GA-13","GA",13,11.68632,"Dense Suburban",0,0,767394,0.531,71993,89033,36.4,0.115705883,0.193,0.033
"157","CA-26","CA",26,11.6762,"Dense Suburban",0,0,758064,0.506,107265,147543,39.4,0.170844414,0.238,0.028
"158","CA-18","CA",18,11.6734,"Dense Suburban",0,0,734686,0.482,96509,125896,34.5,0.122027642,0.169,0.029
"159","TX-12","TX",12,11.67191,"Dense Suburban",1,1,803772,0.502,78999,106993,36.5,0.142223168,0.229,0.025
"160","GA-06","GA",6,11.6706,"Dense Suburban",0,1,790519,0.504,123105,159602,40.2,0.150852794,0.359,0.019
"161","TX-02","TX",2,11.66319,"Dense Suburban",1,1,817455,0.503,92141,123059,36.2,0.125089454,0.268,0.034
"162","CA-09","CA",9,11.65593,"Dense Suburban",0,0,769426,0.498,86062,112256,35.4,0.137290656,0.156,0.041
"163","OH-13","OH",13,11.65369,"Dense Suburban",0,0,778868,0.513,65001,90261,41.7,0.201669603,0.214,0.022
"164","CO-05","CO",5,11.6376,"Dense Suburban",1,1,732858,0.488,82432,101822,35.1,0.139591845,0.258,0.026
"165","OR-01","OR",1,11.6196,"Dense Suburban",0,0,714598,0.501,89182,123435,38.3,0.159412705,0.265,0.024
"166","IL-11","IL",11,11.60326,"Dense Suburban",0,0,766225,0.505,99802,133296,40.1,0.160294953,0.276,0.029
"167","FL-16","FL",16,11.5819,"Dense Suburban",1,1,824961,0.519,79125,103570,43.4,0.229684797,0.225,0.021
"168","TX-03","TX",3,11.57905,"Dense Suburban",1,1,846385,0.507,114577,143551,37.8,0.124013304,0.316,0.024
