"stcd","state_code","State","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region"
"TN-04","TN","Tennessee",4,9.67047,"Rural-Exurban","REP","REP",796991,0.502,65227,82606,37.9,0.156931509,0.173,0.016,NA
"GA-12","GA","Georgia",12,9.65989,"Rural-Exurban","REP","REP",770831,0.506,56189,80133,37.1,0.160525459,0.145,0.029,"South"
"IA-01","IA","Iowa",1,9.65413,"Rural-Exurban","REP","REP",798442,0.499,67381,87516,39,0.183372117,0.211,0.018,"Midwest"
"NH-02","NH","New Hampshire",2,9.63994,"Rural-Exurban","DEM","DEM",691308,0.497,88494,119762,43.8,0.208932921,0.239,0.02,"Northeast"
"TX-01","TX","Texas",1,9.61616,"Rural-Exurban","REP","REP",775992,0.509,60999,83392,39.1,0.182360127,0.147,0.022,"South"
"PA-09","PA","Pennsylvania",9,9.61451,"Rural-Exurban","REP","REP",760960,0.5,65710,86986,43.2,0.213241169,0.15,0.024,"Northeast"
"WV-02","WV","West Virginia",2,9.60292,"Rural-Exurban","REP","REP",898343,0.498,59773,81933,42,0.201145887,0.162,0.026,"South"
"IL-16","IL","Illinois",16,9.59515,"Rural-Exurban","REP","REP",745274,0.5,78393,100707,41.7,0.204599919,0.205,0.023,"Midwest"
"NY-24","NY","New York",24,9.59475,"Rural-Exurban","REP","REP",774173,0.498,66103,85603,42.3,0.205073026,0.16,0.026,"Northeast"
"IN-08","IN","Indiana",8,9.56708,"Rural-Exurban","REP","REP",752244,0.498,61601,82509,39.8,0.191958992,0.151,0.019,"Midwest"
"KY-02","KY","Kentucky",2,9.56108,"Rural-Exurban","REP","REP",756377,0.503,61768,86840,39.6,0.171492523,0.144,0.022,"South"
"TN-08","TN","Tennessee",8,9.55329,"Rural-Exurban","REP","REP",768105,0.515,63678,94568,41.3,0.195376934,0.168,0.025,NA
"AL-02","AL","Alabama",2,9.51913,"Rural-Exurban","REP","REP",723094,0.515,57561,78988,39.1,0.180406697,0.155,0.024,NA
"OK-03","OK","Oklahoma",3,9.51656,"Rural-Exurban","REP","REP",796469,0.491,54397,73175,35.5,0.153314191,0.15,0.025,"South"
"PA-13","PA","Pennsylvania",13,9.46451,"Mostly Rural","REP","REP",764692,0.5,64430,87402,43.6,0.218689355,0.138,0.018,"Northeast"
"AL-03","AL","Alabama",3,9.46407,"Mostly Rural","REP","REP",723164,0.514,54047,76517,39.4,0.182316874,0.152,0.027,NA
"LA-04","LA","Louisiana",4,9.45829,"Mostly Rural","REP","",761461,0.511,48618,70897,38.5,0.176946685,0.132,0.033,"South"
"NC-01","NC","North Carolina",1,9.45644,"Mostly Rural","DEM","DEM",753536,0.514,53854,75802,40.7,0.197284536,0.161,0.031,"South"
"MN-01","MN","Minnesota",1,9.4322,"Mostly Rural","REP","REP",714126,0.497,73826,97587,39.4,0.191356987,0.204,0.02,"Midwest"
"OH-02","OH","Ohio",2,9.35387,"Mostly Rural","REP","REP",786489,0.499,61589,84216,41.1,0.185701262,0.132,0.02,"Midwest"
"NC-03","NC","North Carolina",3,9.34073,"Mostly Rural","REP","REP",756848,0.492,61546,80318,37.8,0.185326512,0.176,0.022,"South"
"VA-05","VA","Virginia",5,9.33159,"Mostly Rural","REP","REP",797420,0.507,63384,95989,41.4,0.209034135,0.201,0.021,"South"
"GA-08","GA","Georgia",8,9.29515,"Mostly Rural","REP","REP",769408,0.509,55822,81177,37.2,0.16323849,0.125,0.022,"South"
"NY-23","NY","New York",23,9.27141,"Mostly Rural","REP","REP",770357,0.505,66388,94297,43.9,0.217518631,0.171,0.026,"Northeast"
"ND-01","ND","North Dakota",1,9.26211,"Mostly Rural","REP","REP",779261,0.488,71970,94991,36.2,0.16720072,0.223,0.015,"Midwest"
"MO-06","MO","Missouri",6,9.23278,"Mostly Rural","REP","REP",768652,0.499,66176,91011,39.3,0.179909764,0.165,0.02,"Midwest"
"MS-01","MS","Mississippi",1,9.21649,"Mostly Rural","REP","REP",748916,0.513,56871,80948,38.1,0.16711487,0.146,0.022,"South"
"IA-04","IA","Iowa",4,9.20412,"Mostly Rural","REP","REP",794584,0.492,68755,88720,39,0.194862972,0.19,0.02,"Midwest"
"MS-03","MS","Mississippi",3,9.18269,"Mostly Rural","REP","REP",735973,0.522,56209,81816,39.3,0.175824385,0.173,0.024,"South"
"AL-04","AL","Alabama",4,9.14366,"Mostly Rural","REP","REP",727607,0.512,54960,79078,40.8,0.188182632,0.118,0.024,NA
"MO-04","MO","Missouri",4,9.13833,"Mostly Rural","REP","REP",780184,0.497,62213,82741,38.4,0.180890662,0.158,0.023,"Midwest"
"CO-03","CO","Colorado",3,9.12253,"Mostly Rural","REP","REP",731516,0.498,67311,89336,41.8,0.209341969,0.224,0.022,"West"
"VA-09","VA","Virginia",9,9.07969,"Mostly Rural","REP","REP",785166,0.498,54260,80818,44,0.224976629,0.142,0.015,"South"
"WV-01","WV","West Virginia",1,9.06467,"Mostly Rural","REP","REP",876813,0.509,49609,78668,43.8,0.222925527,0.137,0.024,"South"
"VT-01","VT","Vermont",1,9.05338,"Mostly Rural","DEM","DEM",647064,0.504,73991,95179,43.2,0.216094544,0.245,0.018,"Northeast"
"LA-05","LA","Louisiana",5,9.05237,"Mostly Rural","REP","",767855,0.502,46162,70807,37.7,0.174527743,0.136,0.033,"South"
"NM-03","NM","New Mexico",3,9.01836,"Mostly Rural","DEM","DEM",703053,0.506,58790,81134,40.4,0.202040244,0.156,0.03,NA
"WI-03","WI","Wisconsin",3,9.00014,"Mostly Rural","DEM","REP",741433,0.491,67520,87090,39.5,0.194120035,0.185,0.018,"Midwest"
"MO-08","MO","Missouri",8,8.99901,"Mostly Rural","REP","REP",775424,0.5,53903,76922,40.7,0.185685509,0.137,0.023,"Midwest"
"MS-02","MS","Mississippi",2,8.97501,"Mostly Rural","DEM","DEM",704754,0.511,40532,63317,39.4,0.183178811,0.13,0.034,"South"
"KS-01","KS","Kansas",1,8.97284,"Mostly Rural","REP","REP",727503,0.493,60646,77866,36,0.178764899,0.188,0.019,"Midwest"
"SD-01","SD","South Dakota",1,8.9698,"Mostly Rural","REP","REP",909824,0.492,69728,89048,38.5,0.182352851,0.217,0.019,"Midwest"
"MT-01","MT","Montana",1,8.95109,"Mostly Rural","REP","REP",569331,0.491,65994,91510,39.9,0.199843325,0.241,0.021,"West"
"PA-15","PA","Pennsylvania",15,8.93615,"Mostly Rural","REP","REP",759208,0.488,60094,80712,42.7,0.211631068,0.143,0.019,"Northeast"
"IL-12","IL","Illinois",12,8.90855,"Mostly Rural","REP","REP",748293,0.496,62253,81304,41.9,0.198515822,0.152,0.022,"Midwest"
"OR-02","OR","Oregon",2,8.90369,"Mostly Rural","REP","REP",700774,0.495,62171,83149,43.1,0.233150773,0.146,0.029,"West"
"IL-15","IL","Illinois",15,8.88089,"Mostly Rural","REP","REP",746507,0.503,66614,87685,42.1,0.210729437,0.16,0.019,"Midwest"
"KY-01","KY","Kentucky",1,8.87433,"Mostly Rural","REP","REP",757381,0.506,54615,74436,40,0.189415895,0.123,0.025,"South"
"AR-01","AR","Arkansas",1,8.83946,"Mostly Rural","REP","REP",747672,0.501,50233,76033,41.1,0.193695899,0.112,0.029,NA
"MI-02","MI","Michigan",2,8.82769,"Mostly Rural","REP","REP",781036,0.49,61030,79846,41.6,0.196318736,0.143,0.023,"Midwest"
"AZ-02","AZ","Arizona",2,8.78438,"Mostly Rural","DEM","REP",820500,0.494,62015,81524,41.9,0.230145034,0.156,0.027,"South"
"NY-21","NY","New York",21,8.77082,"Mostly Rural","REP","REP",776361,0.487,66565,85227,42.4,0.207135598,0.155,0.02,"Northeast"
"KY-05","KY","Kentucky",5,8.76626,"Mostly Rural","REP","REP",739149,0.499,42736,65175,41.9,0.188090629,0.089,0.02,"South"
"AR-04","AR","Arkansas",4,8.73533,"Mostly Rural","REP","REP",751385,0.501,48035,68641,41,0.198485464,0.12,0.023,NA
"AK-01","AK","Alaska",1,8.7344,"Mostly Rural","DEM","DEM",733583,0.474,88121,106785,35.9,0.138326542,0.192,0.029,"West"
"MN-08","MN","Minnesota",8,8.7145,"Mostly Rural","REP","REP",725126,0.491,69868,92889,42.6,0.214961262,0.18,0.022,"Midwest"
"OK-02","OK","Oklahoma",2,8.6155,"Mostly Rural","REP","REP",802111,0.501,50776,72998,39.7,0.191936029,0.135,0.022,"South"
"MT-02","MT","Montana",2,8.61416,"Mostly Rural","new_seat","REP",553536,0.499,69884,89221,40.5,0.202984088,0.216,0.017,"West"
"ME-02","ME","Maine",2,8.55475,"Mostly Rural","DEM","DEM",687642,0.501,59676,81913,46,0.231422746,0.175,0.022,"Northeast"
"WY-01","WY","Wyoming",1,8.52656,"Mostly Rural","REP","REP",581381,0.488,70042,88486,39.1,0.185743944,0.18,0.024,"West"
"WI-07","WI","Wisconsin",7,8.42007,"Mostly Rural","REP","REP",740385,0.492,66222,89948,45.4,0.225724454,0.178,0.017,"Midwest"
"MI-01","MI","Michigan",1,8.3504,"Mostly Rural","REP","REP",782743,0.488,60877,78945,47.6,0.25738333,0.177,0.021,"Midwest"
"NE-03","NE","Nebraska",3,8.26581,"Mostly Rural","REP","REP",649904,0.498,61627,80233,40.6,0.21024182,0.173,0.013,"Midwest"
"MN-07","MN","Minnesota",7,8.14396,"Mostly Rural","REP","REP",713848,0.493,70672,90681,41.9,0.213216259,0.178,0.019,"Midwest"
