"stcd","state_code","State","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","Region"
"AZ-03","AZ","Arizona",3,12.67575,"Urban-Suburban","DEM","DEM",835089,0.495,63913,84482,31,0.0872889,0.121,0.032,"South"
"MD-04","MD","Maryland",4,12.67143,"Urban-Suburban","DEM","DEM",750800,0.524,86941,103631,37.9,0.145672616,0.191,0.035,"South"
"MI-12","MI","Michigan",12,12.66166,"Urban-Suburban","DEM","DEM",759672,0.517,54818,79389,37.3,0.167448583,0.165,0.043,"Midwest"
"TX-09","TX","Texas",9,12.64574,"Urban-Suburban","DEM","DEM",774848,0.52,63597,87973,34.6,0.126304772,0.174,0.036,"South"
"TX-18","TX","Texas",18,12.6062,"Urban-Suburban","DEM","DEM",789388,0.487,58932,93568,32.6,0.10221336,0.176,0.045,"South"
"FL-25","FL","Florida",25,12.59246,"Urban-Suburban","REP","DEM",767802,0.504,79024,110218,41.9,0.170180593,0.265,0.028,NA
"NV-01","NV","Nevada",1,12.57916,"Urban-Suburban","DEM","DEM",767891,0.497,63781,87925,38.9,0.167719116,0.162,0.038,"West"
"AZ-04","AZ","Arizona",4,12.56294,"Urban-Suburban","REP","DEM",799833,0.487,79108,98571,34.6,0.148994853,0.24,0.025,"South"
"CA-06","CA","California",6,12.55663,"Urban-Suburban","DEM","DEM",749993,0.506,80409,103919,36.6,0.145234689,0.202,0.033,"West"
"CO-06","CO","Colorado",6,12.55418,"Urban-Suburban","DEM","DEM",718693,0.498,91725,123611,37.8,0.148881372,0.286,0.028,"West"
"FL-23","FL","Florida",23,12.53913,"Urban-Suburban","DEM","DEM",768707,0.513,80179,121695,43.1,0.2136874,0.274,0.024,NA
"TX-20","TX","Texas",20,12.52761,"Urban-Suburban","DEM","DEM",781188,0.498,56708,72033,33.7,0.121987281,0.165,0.032,"South"
"CA-40","CA","California",40,12.52466,"Urban-Suburban","DEM","REP",742204,0.503,124144,159845,43.1,0.192022678,0.316,0.025,"West"
"FL-20","FL","Florida",20,12.52127,"Urban-Suburban","DEM","DEM",768934,0.513,57237,78305,39.8,0.179841183,0.167,0.039,NA
"IL-06","IL","Illinois",6,12.51739,"Urban-Suburban","DEM","DEM",737763,0.509,95298,131149,41.1,0.198036497,0.262,0.026,"Midwest"
"OH-03","OH","Ohio",3,12.51553,"Urban-Suburban","DEM","DEM",785836,0.513,67720,99116,34.5,0.133763279,0.272,0.024,"Midwest"
"CA-33","CA","California",33,12.51408,"Urban-Suburban","DEM","DEM",774631,0.505,81830,102043,33.7,0.109676736,0.14,0.036,"West"
"NV-03","NV","Nevada",3,12.51288,"Urban-Suburban","DEM","DEM",796804,0.501,75550,105845,39.7,0.165811166,0.22,0.034,"West"
"GA-05","GA","Georgia",5,12.50446,"Urban-Suburban","DEM","DEM",759771,0.514,80430,128358,34.8,0.131388274,0.31,0.032,"South"
"NJ-05","NJ","New Jersey",5,12.50314,"Urban-Suburban","DEM","DEM",774198,0.506,124761,166989,42.9,0.188491833,0.312,0.029,"Northeast"
"MI-13","MI","Michigan",13,12.4986,"Dense Suburban","DEM","DEM",757463,0.516,47778,75789,37.3,0.162566356,0.128,0.049,"Midwest"
"NY-03","NY","New York",3,12.46215,"Dense Suburban","DEM","REP",771208,0.513,129730,181141,44.9,0.214349436,0.293,0.023,"Northeast"
"TX-29","TX","Texas",29,12.45498,"Dense Suburban","DEM","DEM",732116,0.488,50461,69251,33.1,0.110501614,0.095,0.047,"South"
"TX-24","TX","Texas",24,12.45018,"Dense Suburban","REP","REP",760070,0.508,106888,164456,38.8,0.144336706,0.328,0.021,"South"
"WA-09","WA","Washington",9,12.43778,"Dense Suburban","DEM","DEM",751668,0.498,94488,135669,38.2,0.153791301,0.257,0.03,"West"
"TX-37","TX","Texas",37,12.43119,"Dense Suburban","new_seat","DEM",785616,0.493,91114,130368,35.1,0.116895532,0.379,0.021,"South"
"MA-08","MA","Massachusetts",8,12.42628,"Dense Suburban","DEM","DEM",773868,0.51,103758,153589,40.2,0.17861961,0.288,0.027,"Northeast"
"TX-38","TX","Texas",38,12.42589,"Dense Suburban","new_seat","REP",769222,0.515,93861,130289,38.2,0.146133366,0.309,0.03,"South"
"TX-33","TX","Texas",33,12.42466,"Dense Suburban","DEM","DEM",764729,0.496,57463,79425,32.2,0.102689973,0.14,0.03,"South"
"OH-11","OH","Ohio",11,12.4239,"Dense Suburban","DEM","DEM",769169,0.523,50228,81926,38.5,0.183882866,0.189,0.043,"Midwest"
"VA-11","VA","Virginia",11,12.42183,"Dense Suburban","DEM","DEM",784031,0.496,152783,180734,39.2,0.148708406,0.34,0.021,"South"
"MI-10","MI","Michigan",10,12.41793,"Dense Suburban","REP","REP",764788,0.512,71936,95139,41,0.187787988,0.189,0.03,"Midwest"
"FL-10","FL","Florida",10,12.39927,"Dense Suburban","DEM","DEM",766928,0.51,64575,96054,34.9,0.127559562,0.256,0.029,NA
"IL-01","IL","Illinois",1,12.39519,"Dense Suburban","DEM","DEM",728550,0.524,64107,93637,40.2,0.185970764,0.179,0.052,"Midwest"
"CA-50","CA","California",50,12.38566,"Dense Suburban","REP","DEM",748969,0.486,108881,147311,37,0.152242616,0.326,0.028,"West"
"CA-07","CA","California",7,12.37742,"Dense Suburban","DEM","DEM",763060,0.504,85158,111062,37.3,0.157310041,0.22,0.034,"West"
"MO-01","MO","Missouri",1,12.366,"Dense Suburban","DEM","DEM",742101,0.521,57762,86740,37,0.166225352,0.214,0.035,"Midwest"
"FL-26","FL","Florida",26,12.35861,"Dense Suburban","REP","REP",796673,0.509,67071,92098,42.6,0.189362511,0.192,0.021,NA
"CA-14","CA","California",14,12.35435,"Dense Suburban","DEM","DEM",733220,0.507,135760,176217,40.6,0.160562996,0.29,0.029,"West"
"NJ-11","NJ","New Jersey",11,12.35098,"Dense Suburban","DEM","DEM",779192,0.506,128233,183318,41.4,0.17518147,0.329,0.029,"Northeast"
"FL-22","FL","Florida",22,12.34584,"Dense Suburban","DEM","DEM",783947,0.513,73404,114136,46.7,0.26959348,0.235,0.025,NA
"AZ-08","AZ","Arizona",8,12.33945,"Dense Suburban","REP","REP",811500,0.512,79042,104214,42.6,0.232293284,0.201,0.024,"South"
"NJ-06","NJ","New Jersey",6,12.33669,"Dense Suburban","DEM","DEM",784092,0.501,100440,132663,38,0.15253057,0.254,0.034,"Northeast"
"NY-26","NY","New York",26,12.32544,"Dense Suburban","DEM","DEM",770160,0.51,63995,88324,39.4,0.184896645,0.193,0.021,"Northeast"
"MN-04","MN","Minnesota",4,12.31958,"Dense Suburban","DEM","DEM",700555,0.507,82138,114222,37.2,0.159739064,0.289,0.023,"Midwest"
"HI-01","HI","Hawaii",1,12.29852,"Dense Suburban","DEM","DEM",717738,0.497,96086,119586,40.9,0.205084585,0.242,0.021,NA
"NJ-01","NJ","New Jersey",1,12.28513,"Dense Suburban","DEM","DEM",766706,0.515,82670,111894,39.3,0.170873842,0.222,0.036,"Northeast"
"OR-03","OR","Oregon",3,12.27807,"Dense Suburban","DEM","DEM",687278,0.496,80939,110130,39.3,0.152385207,0.253,0.032,"West"
"TX-30","TX","Texas",30,12.2694,"Dense Suburban","DEM","DEM",767034,0.517,67465,96136,33.6,0.114671579,0.179,0.028,"South"
"CA-39","CA","California",39,12.26121,"Dense Suburban","REP","DEM",770106,0.501,84017,101185,32.9,0.109708274,0.119,0.037,"West"
"IL-08","IL","Illinois",8,12.2366,"Dense Suburban","DEM","DEM",749823,0.498,91317,115163,40,0.155063262,0.267,0.028,"Midwest"
"IN-07","IN","Indiana",7,12.2291,"Dense Suburban","DEM","DEM",747577,0.518,59595,86131,34.4,0.132387701,0.232,0.037,"Midwest"
"NY-02","NY","New York",2,12.21863,"Dense Suburban","REP","REP",775081,0.497,113994,140582,39.9,0.160596118,0.192,0.027,"Northeast"
"WA-01","WA","Washington",1,12.20153,"Dense Suburban","DEM","DEM",782320,0.491,125412,176190,38,0.129732079,0.306,0.022,"West"
"MI-11","MI","Michigan",11,12.18432,"Dense Suburban","DEM","DEM",769865,0.503,86379,125050,40.7,0.183963422,0.278,0.027,"Midwest"
"FL-13","FL","Florida",13,12.18172,"Dense Suburban","DEM","REP",763693,0.517,65785,102181,51.5,0.281768983,0.221,0.022,NA
"GA-07","GA","Georgia",7,12.16479,"Dense Suburban","DEM","DEM",776248,0.512,84547,111242,36.2,0.116447321,0.255,0.027,"South"
