"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!Under 18 years!!Male","SEX AND AGE!!Total population!!Under 18 years!!Female","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 to 34 years","SEX AND AGE!!Total population!!18 to 34 years!!Male","SEX AND AGE!!Total population!!18 to 34 years!!Female","SEX AND AGE!!Total population!!35 to 64 years","SEX AND AGE!!Total population!!35 to 64 years!!Male","SEX AND AGE!!Total population!!35 to 64 years!!Female","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Male, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher!!Female, high school graduate or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Male, bachelor's degree or higher","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher!!Female, bachelor's degree or higher","EMPLOYMENT STATUS","EMPLOYMENT STATUS!!Population 16 years and over","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!Median household income (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Households!!With earnings!!Mean earnings (dollars)","INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Individuals!!Mean earnings (dollars)  for full-time, year-round workers:","HEALTH INSURANCE COVERAGE"
"        Margin of Error","","±9,406","±0.5","±0.5","±0.4","±0.5","±0.4","±0.4","±0.5","±0.5","±0.4","±0.4","±0.2","±0.6","±0.6","±0.7","±0.6","±0.5","±5,424","±1.4","±1.4","±6,850","±0.5","±0.5","±4,238","±1.5","±1.5","±5,165","±0.6","±0.6","±3,185","±0.7","±0.7","","±6,324","±0.7","±1.0","±1.2","±1.1","±1.1","±0.7","±1.2","±1.0","±1.3","±1.6","±1.7","","±7,154","±0.9","±0.4","","±4,176","±2,905","±4,887","",""
" -> Congressional District 7 (118th Congress), Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 7 (118th Congress), Alabama -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","716,121","47.3%","52.7%","6.0%","15.2%","13.1%","13.9%","11.5%","11.0%","12.0%","10.5%","6.7%","36.5","78.8%","71.9%","21.0%","17.2%","151,775","52.6%","47.4%","564,346","45.9%","54.1%","193,643","46.4%","53.6%","247,415","47.6%","52.4%","123,288","41.9%","58.1%","","470,456","11.4%","32.9%","29.1%","16.2%","10.5%","88.6%","87.4%","89.7%","26.6%","23.1%","29.6%","","580,833","51.3%","3.4%","","288,118","45,784","70,138","",""
"        Margin of Error","","±12,831","±0.6","±0.6","±0.4","±0.6","±0.6","±0.5","±0.5","±0.5","±0.4","±0.4","±0.3","±0.6","±0.6","±0.8","±0.7","±0.6","±6,267","±1.7","±1.7","±9,145","±0.6","±0.6","±5,230","±1.4","±1.4","±6,064","±1.0","±1.0","±3,852","±0.9","±0.9","","±8,523","±0.8","±1.3","±1.2","±0.9","±0.9","±0.8","±1.1","±1.1","±1.2","±1.5","±1.7","","±9,323","±1.3","±0.5","","±5,026","±2,081","±2,860","",""
" -> Congressional District (at Large) (118th Congress), Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District (at Large) (118th Congress), Alaska -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","733,583","52.6%","47.4%","6.3%","17.6%","9.4%","15.5%","14.3%","11.2%","11.9%","9.4%","4.4%","35.9","76.0%","72.3%","17.4%","13.8%","175,745","50.8%","49.2%","557,838","53.1%","46.9%","182,520","55.6%","44.4%","273,844","52.8%","47.2%","101,474","49.6%","50.4%","","489,218","6.7%","29.1%","33.6%","19.2%","11.3%","93.3%","93.3%","93.3%","30.6%","27.6%","33.9%","","575,934","59.9%","2.9%","","274,574","88,121","106,785","",""
"        Margin of Error","","*****","±0.3","±0.3","±0.2","±0.2","±0.2","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","±0.3","±0.2","±0.3","±0.4","±0.2","±1,149","±1.1","±1.1","±1,149","±0.2","±0.2","±2,345","±0.7","±0.7","±2,332","±0.4","±0.4","±1,321","±0.6","±0.6","","±1,732","±0.7","±1.3","±1.2","±1.0","±0.9","±0.7","±0.8","±0.9","±1.3","±1.5","±1.6","","±1,907","±1.2","±0.3","","±3,261","±2,804","±2,782","",""
" -> Congressional District 1 (118th Congress), Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" -> Congressional District 1 (118th Congress), Arizona -> Total population","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","799,436","49.3%","50.7%","4.5%","13.0%","7.7%","13.9%","12.2%","13.6%","14.1%","11.3%","9.8%","43.9","82.5%","79.7%","25.6%","21.1%","139,632","53.4%","46.6%","659,804","48.5%","51.5%","171,911","49.5%","50.5%","319,228","49.2%","50.8%","168,665","46.1%","53.9%","","598,630","6.7%","14.8%","25.9%","32.3%","20.4%","93.3%","93.1%","93.5%","52.6%","53.6%","51.8%","","678,340","63.7%","2.1%","","361,781","91,562","142,247","",""
"        Margin of Error","","±19,193","±0.8","±0.8","±0.5","±0.8","±0.6","±0.9","±0.7","±0.7","±0.7","±0.6","±0.6","±1.2","±0.8","±0.9","±1.0","±0.9","±8,131","±2.5","±2.5","±15,511","±0.7","±0.7","±8,818","±1.9","±1.9","±10,553","±1.0","±1.0","±6,909","±1.4","±1.4","","±14,412","±1.0","±0.8","±1.2","±1.2","±1.1","±1.0","±1.2","±1.0","±1.4","±2.0","±1.8","","±16,091","±1.1","±0.3","","±8,172","±3,062","±5,061","",""
" -> Congressional District 2 (118th Congress), Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
